match_id,match_date,is_goal,distance_to_goal,angle_to_goal,dist_squared,dist_angle,is_in_area,is_central,is_big_chance,is_header,is_penalty,is_volley,first_touch,is_set_piece,from_corner,is_counter,is_right_foot,is_left_foot,shot_quality_index,defensive_pressure,buildup_passes,buildup_unique_players,buildup_decentralized,ppda,pass_decentralization,zone_close_central,zone_close_nan,zone_close_offset,zone_far_central,zone_far_nan,zone_far_offset,zone_far_wide,zone_mid_central,zone_mid_nan,zone_mid_offset,zone_mid_wide,zone_nan_wide
187,01/01/2026,False,36.021798955632406,5.070280836307284,1297.57,182.64063693405674,False,False,0,0,0,0,0,0,0,0,1,0,0.01989100522183798,1,8,5,1,9.052631578947368,15.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,21.380364823828433,4.926312084740428,457.12000000000023,105.32634960778516,False,True,0,0,0,1,0,0,0,0,1,0,0.29309817588085785,0,8,6,1,9.052631578947368,15.0,False,False,False,False,False,False,False,False,False,True,False,False
187,01/01/2026,True,20.87510479015615,4.275123064992542,435.77000000000027,89.24364197253286,True,False,1,1,0,0,1,0,0,0,0,0,0.6956244760492192,0,4,3,0,25.307692307692307,12.0,False,False,False,False,False,False,False,False,False,False,True,False
187,01/01/2026,False,22.243425995111448,4.795322822219684,494.7699999999997,106.6644083187125,False,False,0,0,0,1,0,0,0,0,0,1,0.08878287002444277,0,11,8,1,25.307692307692307,12.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,47.676514134319845,3.9541543522652565,2273.05,188.52029586505682,False,False,0,0,0,0,0,0,0,0,1,0,0.0,0,7,6,1,25.307692307692307,12.0,False,False,False,False,True,False,False,False,False,False,False,False
187,01/01/2026,False,33.70830758136635,4.352136047011513,1136.25,146.70314050861595,False,False,0,0,0,0,1,0,0,0,0,1,0.03145846209316825,0,7,7,1,25.307692307692307,12.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,49.11720676097125,4.114004724103663,2412.5,202.06842064941208,False,False,0,0,0,0,0,0,0,0,1,0,0.0,0,13,10,1,9.052631578947368,15.0,False,False,False,False,True,False,False,False,False,False,False,False
187,01/01/2026,False,33.868126608951954,3.9880211124325706,1147.0499999999993,135.06680395503972,False,False,0,0,0,0,0,0,0,0,0,1,0.03065936695524023,0,12,10,1,9.052631578947368,15.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,40.083911984735224,4.446563064028245,1606.72,178.23564249308276,False,False,0,0,0,0,0,0,0,1,1,0,0.0,0,16,11,1,25.307692307692307,12.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,29.342460701175014,4.4550392645585095,860.9800000000001,130.72181454249971,False,False,0,0,0,0,1,0,0,1,1,0,0.05328769649412493,2,6,8,1,25.307692307692307,12.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,40.909901002080176,4.363330273410514,1673.6200000000006,178.50340952460357,False,False,0,0,0,0,0,0,0,0,1,0,0.0,0,10,10,1,9.052631578947368,15.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,22.078043391568922,4.51170316035676,487.44000000000017,99.60957814423519,True,False,1,1,0,0,1,0,0,0,0,0,0.6896097830421554,0,14,7,1,9.052631578947368,15.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,10.824509226750193,4.292395749758952,117.17000000000006,46.46307739812909,True,True,0,1,0,0,1,0,0,0,0,0,0.595877453866249,0,13,7,1,9.052631578947368,15.0,False,False,True,False,False,False,False,False,False,False,False,False
