match_id,match_date,time,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,referee,home_shots,away_shots,home_shots_target,away_shots_target,hf,af,hc,ac,hy,ay,hr,ar,b365h,b365d,b365a,bwh,bwd,bwa,maxh,maxd,maxa,avgh,avgd,avga,total_goals,goal_diff,implied_prob_h,implied_prob_d,implied_prob_a,home_xg,away_xg,home_gf_avg5,home_ga_avg5,home_shots_avg5,home_sot_avg5,home_xg_for_avg5,home_xg_ag_avg5,home_pts_avg5,away_gf_avg5,away_ga_avg5,away_shots_avg5,away_sot_avg5,away_xg_for_avg5,away_xg_ag_avg5,away_pts_avg5,xg_form_diff,points_form_diff,sot_diff,gf_diff,expected_total_xg,home_strength_rating,away_strength_rating,bookmaker_spread_draw,big_chances_diff,ref_yellow_avg,ref_red_avg,ref_foul_avg
8,17/08/2025,14:00,Nott'm Forest,Brentford,3,1,H,3,0,H,P Bankes,11,10,5,3,7,15,5,5,1,2,0,0,2.2,3.3,3.5,2.15,3.4,3.4,2.2,3.5,3.55,2.15,3.36,3.43,4,2,0.4356846473029045,0.2904564315352697,0.2738589211618257,0.0,0.0,1.2,0.8,15.0,4.6,0.0,0.0,1.6,1.4,1.4,11.2,4.2,0.0,0.0,1.2,0.0,0.40000000000000013,0.39999999999999947,-0.19999999999999996,0.0,1.1555555555555554,1.0333333333333332,-1.2999999999999998,0.0,1.5238095238095237,0.09523809523809523,11.238095238095237
9,17/08/2025,16:30,Man United,Arsenal,0,1,A,0,1,A,S Hooper,22,9,7,3,10,19,3,4,1,4,0,0,3.6,3.6,1.95,3.4,3.5,2.1,3.75,3.66,2.1,3.57,3.56,2.01,1,-1,0.25999999999999995,0.25999999999999995,0.48,0.0,0.0,2.2,1.8,16.8,6.2,0.0,0.0,1.6,1.6,0.8,14.2,3.8,0.0,0.0,1.8,0.0,-0.19999999999999996,2.4000000000000004,0.6000000000000001,0.0,1.3631578947368421,1.3555555555555556,1.6500000000000001,0.0,1.5333333333333334,0.13333333333333333,11.2
218,18/01/2026,14:00,Wolves,Newcastle,0,0,D,0,0,D,S Barrott,6,12,2,2,14,8,4,7,2,2,0,0,4.75,4.0,1.7,4.5,4.1,1.7,5.0,4.2,1.73,4.6,3.98,1.7,0,0,0.2007380073800738,0.23837638376383766,0.5608856088560886,0.0,0.0,0.4,2.2,7.0,2.6,0.0,0.0,0.2,0.8,1.0,12.8,3.0,0.0,0.0,1.4,0.0,-1.2,-0.3999999999999999,-0.4,0.0,0.41739130434782606,0.8545454545454545,3.05,0.0,1.7058823529411764,0.058823529411764705,10.058823529411764
219,18/01/2026,16:30,Aston Villa,Everton,0,1,A,0,0,D,T Harrington,18,9,5,3,15,13,6,4,1,2,0,0,1.67,3.9,5.25,1.66,4.0,5.0,1.7,4.0,5.5,1.66,3.87,5.09,1,-1,0.5726391743927508,0.24520703108612663,0.1821537945211226,0.0,0.0,1.6,0.4,9.6,3.4,0.0,0.0,2.2,1.0,1.0,15.4,3.6,0.0,0.0,1.4,0.0,0.8000000000000003,-0.20000000000000018,0.6000000000000001,0.0,1.8,0.9545454545454546,-3.58,0.0,1.4545454545454546,0.0,10.909090909090908
261,18/02/2026,20:00,Wolves,Arsenal,2,2,D,0,1,A,P Tierney,5,10,2,4,6,8,1,3,2,1,0,0,11.0,5.25,1.29,10.0,5.5,1.3,12.0,5.8,1.3,10.94,5.48,1.28,4,0,0.08604097189137686,0.1802763220581229,0.7336827060505002,0.0,0.0,0.2,1.4,6.6,2.6,0.0,0.0,0.4,1.4,0.4,12.6,3.0,0.0,0.0,2.2,0.0,-1.8000000000000003,-0.3999999999999999,-1.2,0.0,0.43333333333333335,1.7,9.71,0.0,1.8,0.0,9.8
10,18/08/2025,20:00,Leeds,Everton,1,0,H,0,0,D,C Kavanagh,21,7,3,1,6,8,7,2,0,2,0,0,2.38,3.3,3.0,2.4,3.25,2.95,2.5,3.5,3.05,2.39,3.29,2.96,1,1,0.39768618944323936,0.28681610026512416,0.31549771029163654,0.0,0.0,1.0,1.4,11.2,3.4,0.0,0.0,1.0,0.8,0.8,14.0,3.6,0.0,0.0,1.4,0.0,-0.3999999999999999,-0.20000000000000018,0.19999999999999996,0.0,0.8333333333333333,0.9555555555555556,-0.6200000000000001,0.0,1.619047619047619,0.0,10.857142857142858
77,18/10/2025,17:30,Fulham,Arsenal,0,1,A,0,0,D,A Taylor,9,16,0,5,11,4,6,10,0,0,0,0,5.75,4.1,1.55,6.0,4.1,1.55,6.5,4.4,1.57,6.14,4.13,1.54,1,-1,0.16360944841346464,0.2294522752140053,0.6069382763725301,0.0,0.0,1.0,1.4,8.0,2.6,0.0,0.0,1.4,1.6,0.6,13.2,3.4,0.0,0.0,2.2,0.0,-0.8000000000000003,-0.7999999999999998,-0.6000000000000001,0.0,0.8333333333333333,1.5142857142857142,4.2,0.0,1.7727272727272727,0.045454545454545456,10.272727272727273
75,18/10/2025,15:00,Man City,Everton,2,0,H,0,0,D,T Harrington,19,5,7,1,8,14,11,3,0,2,0,0,1.4,5.0,7.0,1.41,4.8,7.25,1.41,5.25,9.0,1.38,4.92,7.91,2,2,0.6756756756756757,0.1891891891891892,0.13513513513513511,0.0,0.0,2.6,0.4,11.0,4.4,0.0,0.0,2.4,0.4,1.0,12.6,2.8,0.0,0.0,0.8,0.0,1.5999999999999999,1.6000000000000005,2.2,0.0,2.3,0.6545454545454545,-5.6,0.0,1.4545454545454546,0.0,10.909090909090908
74,18/10/2025,15:00,Crystal Palace,Bournemouth,3,3,D,0,2,A,J Gillett,20,8,7,5,8,16,6,5,1,4,0,0,2.2,3.4,3.25,2.25,3.4,3.1,2.3,3.4,3.35,2.25,3.35,3.22,6,0,0.43029595015576316,0.27842679127725856,0.29127725856697817,0.0,0.0,0.6,1.6,13.8,3.8,0.0,0.0,0.4,2.0,2.8,12.2,5.0,0.0,0.0,1.4,0.0,-0.9999999999999999,-1.2000000000000002,-1.4,0.0,0.5941176470588234,1.1724137931034484,-1.0499999999999998,0.0,1.8235294117647058,0.058823529411764705,9.941176470588236
76,18/10/2025,15:00,Sunderland,Wolves,2,0,H,1,0,H,R Jones,8,16,2,3,5,12,3,2,0,0,0,0,2.5,3.0,3.1,2.45,3.1,3.1,2.5,3.15,3.25,2.46,3.07,3.13,2,2,0.3788187372708758,0.3156822810590631,0.3054989816700611,0.0,0.0,1.2,0.4,9.0,3.0,0.0,0.0,2.0,0.6,1.8,6.2,2.4,0.0,0.0,0.4,0.0,1.6,0.6000000000000001,0.6,0.0,1.6,0.5631578947368421,-0.6000000000000001,0.0,2.0,0.0,8.933333333333334
72,18/10/2025,15:00,Brighton,Newcastle,2,1,H,1,0,H,C Pawson,13,16,5,3,9,9,8,4,0,1,0,0,2.63,3.4,2.6,2.6,3.4,2.65,2.75,3.66,2.65,2.61,3.48,2.62,3,1,0.3590576766856215,0.27774167343623074,0.3632006498781478,0.0,0.0,0.4,1.2,9.2,2.6,0.0,0.0,0.4,0.6,0.4,14.2,3.2,0.0,0.0,1.6,0.0,-1.2000000000000002,-0.6000000000000001,-0.19999999999999996,0.0,0.5846153846153845,1.3,0.029999999999999805,0.0,1.1764705882352942,0.11764705882352941,10.823529411764707
71,18/10/2025,12:30,Nott'm Forest,Chelsea,0,3,A,0,0,D,C Kavanagh,12,17,2,6,13,16,5,2,2,2,0,1,3.7,3.8,1.95,3.75,3.7,1.93,3.85,3.85,1.95,3.75,3.74,1.93,3,-3,0.25832316541746553,0.25152518738016383,0.49015164720237064,0.0,0.0,1.2,0.8,14.4,4.4,0.0,0.0,1.6,1.6,0.8,15.4,4.0,0.0,0.0,1.8,0.0,-0.19999999999999996,0.40000000000000036,-0.40000000000000013,0.0,1.1555555555555554,1.3555555555555556,1.7500000000000002,0.0,1.619047619047619,0.0,10.857142857142858
73,18/10/2025,15:00,Burnley,Leeds,2,0,H,1,0,H,T Robinson,4,19,3,4,10,7,1,5,2,1,0,0,3.25,3.25,2.25,3.2,3.25,2.3,3.45,3.33,2.3,3.3,3.25,2.26,2,2,0.2903225806451613,0.2903225806451613,0.4193548387096774,0.0,0.0,1.2,2.0,9.6,3.2,0.0,0.0,0.8,1.0,0.8,13.4,3.4,0.0,0.0,1.6,0.0,-0.8,-0.19999999999999973,0.19999999999999996,0.0,0.838095238095238,1.0555555555555556,1.0,0.0,1.3333333333333333,0.0,11.333333333333334
220,19/01/2026,20:00,Brighton,Bournemouth,1,1,D,0,1,A,P Tierney,17,11,5,2,7,6,11,6,2,3,0,0,1.85,3.9,3.8,1.87,3.9,3.7,1.91,4.1,4.1,1.85,3.92,3.75,2,0,0.509891622226045,0.2418716669533804,0.24823671082057458,0.0,0.0,0.8,1.4,10.4,3.0,0.0,0.0,0.8,2.6,2.6,11.2,5.2,0.0,0.0,1.6,0.0,-0.8,-2.2,-1.8,0.0,0.7333333333333334,1.4851851851851852,-1.9499999999999997,0.0,1.8,0.0,9.8
78,19/10/2025,14:00,Tottenham,Aston Villa,1,2,A,1,1,D,S Hooper,9,8,3,2,11,7,6,6,2,0,0,0,2.05,3.5,3.5,2.05,3.6,3.4,2.15,3.7,3.5,2.06,3.56,3.42,3,-1,0.4605263157894737,0.2697368421052631,0.2697368421052631,0.0,0.0,1.6,1.4,14.6,4.0,0.0,0.0,1.2,0.8,0.6,10.0,2.8,0.0,0.0,1.6,0.0,-0.40000000000000013,1.2000000000000002,0.8,0.0,1.1333333333333333,1.1142857142857143,-1.4500000000000002,0.0,1.5333333333333334,0.13333333333333333,11.2
79,19/10/2025,16:30,Liverpool,Man United,1,2,A,0,1,A,M Oliver,19,12,6,4,8,14,9,4,0,2,0,0,1.6,4.5,5.0,1.61,4.4,4.8,1.62,4.7,5.1,1.6,4.4,4.89,3,-1,0.5968169761273209,0.21220159151193632,0.19098143236074272,0.0,0.0,1.8,0.6,23.8,6.4,0.0,0.0,2.6,1.4,1.8,15.8,5.6,0.0,0.0,1.0,0.0,1.6,0.8000000000000007,0.40000000000000013,0.0,1.6142857142857143,0.963157894736842,-3.4,0.0,1.0,0.0,10.714285714285714
47,20/09/2025,20:00,Fulham,Brentford,3,1,H,2,1,H,M Oliver,14,8,3,3,11,13,2,10,4,1,0,0,2.0,3.4,3.8,2.05,3.5,3.6,2.05,3.6,4.0,2.02,3.48,3.69,4,2,0.47291361639824303,0.2781844802342606,0.24890190336749632,0.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,1.4,1.0,1.8,10.2,3.4,0.0,0.0,0.6,0.0,0.7999999999999999,-1.4,0.0,0.0,0.9545454545454546,0.763157894736842,-1.7999999999999998,0.0,1.0,0.0,10.714285714285714
46,20/09/2025,17:30,Man United,Chelsea,2,1,H,2,0,H,P Bankes,11,5,4,1,13,14,5,5,0,5,1,1,2.6,3.8,2.45,2.65,3.7,2.4,2.8,3.8,2.5,2.68,3.69,2.44,3,1,0.3642410015649452,0.2492175273865415,0.3865414710485133,0.0,0.0,1.6,1.8,16.4,5.8,0.0,0.0,1.4,1.8,0.4,15.0,4.4,0.0,0.0,2.2,0.0,-0.8000000000000003,1.3999999999999995,-0.19999999999999996,0.0,1.063157894736842,1.9,0.1499999999999999,0.0,1.5238095238095237,0.09523809523809523,11.238095238095237
