feature,coef
shot_quality_index,3.005594454943144
distance_to_goal,0.5191877228126492
is_penalty,0.20316734287605398
angle_to_goal,0.19224325433172312
ppda,0.07983288812650438
buildup_decentralized,0.056841780025428855
buildup_unique_players,0.016203332531058504
pass_decentralization,0.012729828924310859
buildup_passes,-0.0018917410340370802
first_touch,-0.05379063126039198
defensive_pressure,-0.09629386230929168
is_big_chance,-0.7202348206861147
is_in_area,-1.2813963926174845
is_central,-1.2947582785339293
