feature,importance
shot_quality_index,0.4229602452590077
distance_to_goal,0.18855260698672294
angle_to_goal,0.13980570765233527
is_penalty,0.08510533312752369
ppda,0.0625738835385988
buildup_unique_players,0.03700324779392644
buildup_passes,0.036612956101210146
pass_decentralization,0.016142429158060054
first_touch,0.00762096159447728
buildup_decentralized,0.002710493131731767
defensive_pressure,0.0009121356564060001
