class,implied_prob_h,implied_prob_d,implied_prob_a,b365h,b365d,b365a,bookmaker_spread_draw,xg_form_diff,points_form_diff,big_chances_diff,home_strength_rating
A,-0.032106856356184474,-0.2746102175480605,0.10613805039983247,0.2312179879392483,-0.5025726153738658,-0.05758927493697074,0.12684798757438842,0.0,0.2141661957093826,0.0,-0.25996838452907844
D,0.24915522109465849,-0.11611868789676022,-0.2467745411133129,0.22306839450110982,0.10228679414866002,-0.18463781465883364,0.2157715911520857,0.0,-0.12866718714962377,0.0,0.1306424447816719
H,-0.2170483647384745,0.3907289054448222,0.1406364907134816,-0.4542863824403588,0.4002858212252052,0.2422270895958035,-0.3426195787264744,0.0,-0.08549900855975986,0.0,0.12932593974740628
