player_name,team_name,shots,goals,mean_distance,mean_angle,mean_xg,box_share,central_share,big_chance_share,header_share,penalty_share,first_touch_share,goal_rate,cluster,pc1,pc2
Matheus Cunha,Man Utd,68,6,20.472717108308203,0.5268463118679604,0.34259031202974227,0.5441176470588235,0.7941176470588235,0.08823529411764706,0.08823529411764706,0.0,0.4117647058823529,0.08823529411764706,0,-1.2985232136826552,-0.4565763936909037
Morgan Rogers,Aston Villa,66,8,20.69944207388255,0.6298347189475764,0.29885294090020803,0.5606060606060606,0.7575757575757576,0.06060606060606061,0.06060606060606061,0.0,0.25757575757575757,0.12121212121212122,0,-1.9800758036344421,-1.044413961146017
Bruno Fernandes,Man Utd,64,7,20.01102032352591,0.41327375031786917,0.37598152105350013,0.5,0.859375,0.203125,0.03125,0.078125,0.578125,0.109375,0,0.06115199083857715,-1.1783833751290191
Harry Wilson,Fulham,58,9,21.18552928440955,0.5826245632453727,0.3062169768379138,0.5862068965517241,0.8275862068965517,0.05172413793103448,0.017241379310344827,0.0,0.3103448275862069,0.15517241379310345,0,-1.650068656668011,-0.7485905671792566
Dominik Szoboszlai,Liverpool,52,4,24.568825536707138,0.42357808728994567,0.2987784667451684,0.23076923076923078,0.8076923076923077,0.07692307692307693,0.038461538461538464,0.019230769230769232,0.3269230769230769,0.07692307692307693,0,-2.7603373713983785,-0.06764789746047087
Marcus Tavernier,Bournemouth,52,5,20.810573999147138,0.5313476236837288,0.3255291734292649,0.4807692307692308,0.75,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.4230769230769231,0.09615384615384616,0,-1.4058578919538804,-0.8883396322926569
Phil Foden,Man City,51,7,18.74521537877001,0.4984803018474774,0.3529255647687297,0.5490196078431373,0.8823529411764706,0.13725490196078433,0.0392156862745098,0.0,0.4117647058823529,0.13725490196078433,0,-0.6037280765735681,-0.22554011167848412
Anton Stach,Leeds,45,4,22.545052515784857,0.5192062021650147,0.25674651754700334,0.4,0.7777777777777778,0.022222222222222223,0.044444444444444446,0.0,0.3333333333333333,0.08888888888888889,0,-2.814966290859785,0.302357303796095
Alexis Mac Allister,Liverpool,41,2,18.303134061262003,0.3731757845137252,0.33352046894425647,0.6097560975609756,0.926829268292683,0.07317073170731707,0.21951219512195122,0.0,0.5365853658536586,0.04878048780487805,0,-0.3900687883424371,1.6918855914796465
James Garner,Everton,40,2,24.83081120120145,0.5861410578937395,0.2549235894648839,0.35,0.7,0.025,0.0,0.0,0.45,0.05,0,-3.472446930632604,0.36701124993362505
Yasin Ayari,Brighton,39,3,21.067615727635005,0.33366693080799453,0.2523991501812331,0.358974358974359,0.9230769230769231,0.0,0.02564102564102564,0.0,0.46153846153846156,0.07692307692307693,0,-2.179133336751966,1.658910548124888
Brenden Aaronson,Leeds,38,4,17.24053787991701,0.5349177937742425,0.38386626167271665,0.631578947368421,0.9210526315789473,0.15789473684210525,0.02631578947368421,0.0,0.47368421052631576,0.10526315789473684,0,-0.08148579629723571,0.1839512999245939
Emiliano Buendía,Aston Villa,38,5,20.6012351159587,0.44056232231235054,0.2941515313185842,0.3684210526315789,0.868421052631579,0.07894736842105263,0.07894736842105263,0.0,0.47368421052631576,0.13157894736842105,0,-1.5247190137697486,0.8019916688208778
Yéremy Pino,Crystal Palace,37,2,20.28982402593045,0.5149066006593856,0.38423777434958784,0.5945945945945946,0.8378378378378378,0.13513513513513514,0.02702702702702703,0.0,0.4864864864864865,0.05405405405405406,0,-0.9675102400514617,0.2969290280333928
Alex Scott,Bournemouth,36,2,20.104951777140197,0.34910763510677356,0.2925501921560584,0.3888888888888889,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.0,0.3611111111111111,0.05555555555555555,0,-1.742654908522008,1.3445556012251882
Eberechi Eze,Arsenal,36,6,18.427312834233966,0.4111079722792655,0.351133047680709,0.75,0.9166666666666666,0.08333333333333333,0.0,0.0,0.3611111111111111,0.16666666666666666,0,-0.3745941785977697,0.13318367777100296
Georginio Rutter,Brighton,36,3,20.480708685472944,0.6215442707614027,0.31276825521619206,0.6111111111111112,0.8888888888888888,0.08333333333333333,0.2222222222222222,0.0,0.5,0.08333333333333333,0,-0.9102369821704176,0.9177614136427374
Jacob Murphy,Newcastle,36,3,21.98267695929532,0.6615872160690136,0.30174136101144344,0.5277777777777778,0.7777777777777778,0.08333333333333333,0.0,0.0,0.3611111111111111,0.08333333333333333,0,-2.285833128728996,-0.17794360650288796
Declan Rice,Arsenal,35,4,22.071659908850386,0.5005044616609997,0.3151370380446735,0.37142857142857144,0.7428571428571429,0.14285714285714285,0.05714285714285714,0.0,0.4857142857142857,0.11428571428571428,0,-1.8636176099846602,0.19251279102078644
Elliot Anderson,Nottingham Forest,35,2,23.113844319933868,0.5781476481047059,0.2928357498462908,0.42857142857142855,0.6857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.37142857142857144,0.05714285714285714,0,-2.783340669935764,-0.21593004278788727
Xavi Simons,Tottenham,33,1,21.733526469432643,0.4965964430679016,0.29434112939786405,0.3939393939393939,0.8181818181818182,0.030303030303030304,0.06060606060606061,0.0,0.30303030303030304,0.030303030303030304,0,-2.703593908966165,0.8367159507492705
Neco Williams,Nottingham Forest,31,1,23.40501727215986,0.5603445374744924,0.2627002912623769,0.3225806451612903,0.7741935483870968,0.03225806451612903,0.03225806451612903,0.0,0.45161290322580644,0.03225806451612903,0,-3.123890360415686,0.9831750543456559
Rayan Cherki,Man City,31,3,19.575187028770383,0.5832413198538022,0.2988750132359412,0.7419354838709677,0.8387096774193549,0.03225806451612903,0.0,0.0,0.22580645161290322,0.0967741935483871,0,-1.8149536030532034,0.03458835474890421
Mateus Mané,Wolves,29,2,24.231220476195862,0.552138075139409,0.24978075126139257,0.27586206896551724,0.7586206896551724,0.034482758620689655,0.0,0.0,0.10344827586206896,0.06896551724137931,0,-3.948038602547307,0.07288084447031876
Ryan Gravenberch,Liverpool,29,4,24.1495619993168,0.49404359897893096,0.3012428374856915,0.20689655172413793,0.8275862068965517,0.0,0.0,0.0,0.2413793103448276,0.13793103448275862,0,-3.1572090678338007,0.20180381536805614
Sandro Tonali,Newcastle,28,0,23.807658158094494,0.4308020778865002,0.28000995500724707,0.35714285714285715,0.8214285714285714,0.03571428571428571,0.0,0.0,0.5357142857142857,0.0,0,-2.853252632395745,1.6386850716062864
Alex Iwobi,Fulham,27,4,22.306130868397673,0.5062819876191578,0.30697409956408983,0.4444444444444444,0.8148148148148148,0.07407407407407407,0.037037037037037035,0.0,0.5555555555555556,0.14814814814814814,0,-1.6453467861839903,0.646297729816776
Joelinton,Newcastle,27,2,16.26556848781739,0.5370414438935082,0.31341453824980076,0.7777777777777778,0.8518518518518519,0.037037037037037035,0.4074074074074074,0.0,0.6296296296296297,0.07407407407407407,0,0.16081011581466187,2.0434242344828526
Liam Delap,Chelsea,27,1,15.139477899159958,0.5426767472286336,0.31919257444013377,0.8518518518518519,0.8888888888888888,0.14814814814814814,0.2222222222222222,0.0,0.5555555555555556,0.037037037037037035,0,0.27478599004843685,1.526795016726297
Matty Cash,Aston Villa,25,3,25.296949860766446,0.5818456829544909,0.2888854092963928,0.32,0.72,0.04,0.0,0.0,0.32,0.12,0,-3.3280839494084717,-0.04007292765773226
Adam Wharton,Crystal Palace,24,0,21.715034802881913,0.4012784657281985,0.26218099569920406,0.2916666666666667,0.8333333333333334,0.0,0.041666666666666664,0.0,0.7083333333333334,0.0,0,-2.5167369859434734,2.501280875907514
Idrissa Gueye,Everton,24,2,23.465403224489435,0.483090947759704,0.26367216382586983,0.3333333333333333,0.6666666666666666,0.041666666666666664,0.0,0.0,0.375,0.08333333333333333,0,-3.3636707083650155,0.505356031237807
Mathys Tel,Tottenham,24,3,18.74274879120291,0.5727821543175092,0.2821973872595842,0.7083333333333334,0.7083333333333334,0.08333333333333333,0.125,0.0,0.4166666666666667,0.125,0,-1.4051082964662864,0.36471813604556363
Riccardo Calafiori,Arsenal,24,1,16.42550825572175,0.6493097650028207,0.26126153054179746,0.75,0.875,0.08333333333333333,0.3333333333333333,0.0,0.625,0.041666666666666664,0,-0.3183168044288691,2.0661716502059444
Trai Hume,Sunderland,24,0,18.869409142632055,0.5037865450012009,0.2599019116276358,0.5416666666666666,0.8333333333333334,0.16666666666666666,0.2916666666666667,0.0,0.5833333333333334,0.0,0,-1.0490690770483335,2.155229443967666
João Palhinha,Tottenham,23,3,18.264113797962693,0.4790143371251292,0.30439665062431215,0.4782608695652174,0.9565217391304348,0.043478260869565216,0.13043478260869565,0.0,0.6086956521739131,0.13043478260869565,0,-0.6445119900739001,1.7390057670171586
Lucas Paquetá,West Ham,23,4,22.27567814766782,0.48531632423367305,0.3529317449580061,0.34782608695652173,0.782608695652174,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.2608695652173913,0.17391304347826086,0,-1.5275688232386335,-1.4472913613740968
Kevin,Fulham,22,1,22.01999350242799,0.615604452192136,0.2762019774853062,0.4090909090909091,0.6818181818181818,0.045454545454545456,0.13636363636363635,0.0,0.36363636363636365,0.045454545454545456,0,-2.9494594182229474,0.6850344377502334
Mathias Jensen,Brentford,22,2,25.857203091374004,0.5947171971562242,0.30120148671289393,0.36363636363636365,0.6363636363636364,0.09090909090909091,0.045454545454545456,0.0,0.4090909090909091,0.09090909090909091,0,-3.2153584308662944,0.0031616581003741993
Wilson Odobert,Tottenham,22,0,18.455780658899528,0.5845053112723032,0.34377312492744355,0.6363636363636364,0.8181818181818182,0.18181818181818182,0.13636363636363635,0.0,0.5909090909090909,0.0,0,-0.7362026950994411,1.2500286112999563
Jack Hinshelwood,Brighton,21,2,20.103810177042153,0.4843790539442453,0.31885217353765316,0.7142857142857143,0.9523809523809523,0.09523809523809523,0.42857142857142855,0.0,0.6666666666666666,0.09523809523809523,0,0.3008728583391834,2.3681549387112213
Mateus Fernandes,West Ham,21,3,23.407390395722647,0.36953545536414606,0.3145480616914802,0.23809523809523808,0.8571428571428571,0.047619047619047616,0.047619047619047616,0.0,0.2857142857142857,0.14285714285714285,0,-2.4928781760349192,0.7530368093580114
Jean-Ricner Bellegarde,Wolves,20,1,24.016459733111525,0.5623088934213315,0.23747234007492962,0.25,0.8,0.05,0.05,0.0,0.3,0.05,0,-3.545452753050922,1.0115015513713899
Josh King,Fulham,20,0,19.680731148080188,0.6019114028341825,0.31551238271975773,0.65,0.85,0.1,0.05,0.0,0.45,0.0,0,-1.6055698075391183,1.1410963143039412
Marcus Edwards,Burnley,20,1,20.276692904828998,0.5445143550380209,0.32134017915030477,0.55,0.8,0.1,0.05,0.0,0.2,0.05,0,-2.1750719903643385,0.3492715047584621
