feature,vif
home_xg_for_avg5,
away_xg_for_avg5,
home_sot_avg5,12.177574964448063
away_sot_avg5,10.52707916958706
expected_total_xg,
bookmaker_spread_draw,1.6141466110023046
implied_prob_d,15.321638080311159
away_strength_rating,3.4410096392813077
